qri_update_time,collected_at,trading_day,last_trading_day,contract,option_type,strike,settlement,open_interest,volume,ask_iv,bid_iv,ask_price,ask_quantity,bid_price,bid_quantity,iv,change,change_percent,last_price,trade_time
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,80000,2,,3,29.58,27.94,2,131,1,77,28.38,0,0,1,09/17 17:00
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,80000,15945,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,79500,2,,,28.81,27.2,2,10,1,25,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,79500,15445,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,79000,2,,,28.03,26.46,2,15,1,27,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,79000,14945,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,78500,2,,,28.26,25.71,3,9,1,52,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,78500,14450,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,78000,2,,,26.45,24.96,2,3,1,143,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,78000,13950,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,77500,3,,,26.62,25.65,3,2,2,1,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,77500,13450,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,77000,3,,1,25.78,24.84,3,6,2,65,26.52,0,0,3,09/17 17:05
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,77000,12950,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,76500,4,,1,25.65,24.94,4,1,3,15,25.13,-1,-25,3,09/17 19:55
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,76500,12450,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,76250,5,,,25.79,24.52,5,15,3,20,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,76250,12205,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,76000,4,,14,25.35,24.78,5,11,4,27,24.99,0,0,4,09/17 18:16
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,76000,11955,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,75750,6,,,26.19,24.34,8,31,4,20,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,75750,11705,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,75500,7,,,26.07,24.45,9,41,5,23,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,75500,11455,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,75250,7,,,25.59,24.47,9,20,6,5,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,75250,11205,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,75000,8,,33,24.78,24.41,8,19,7,2,24.48,0,0,7,09/17 20:47
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,75000,10955,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,74750,9,,4,25.23,23.94,11,20,7,20,24.33,,,7,09/17 18:24
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,74750,10710,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,74500,10,,8,25,24.15,12,23,9,8,24.52,1,11.11,10,09/17 20:47
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,74500,10460,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,74250,11,,6,24.5,23.96,12,1,10,5,23.96,,,10,09/17 20:37
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,74250,10210,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,74000,12,,9,24.24,23.74,13,2,11,12,23.74,1,10,11,09/17 20:13
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,74000,9965,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,73750,13,,1,24.75,22.69,18,8,9,8,24.15,-5,-31.25,11,09/17 17:14
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,73750,9715,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,73500,15,,1,23.85,22.74,16,1,11,29,23.57,-3,-17.65,14,09/17 19:15
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,73500,9465,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,73250,18,,,24.2,21.7,21,8,9,8,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,73250,9220,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,73000,19,,17,23.81,23.33,22,12,19,12,23.49,2,11.11,20,09/17 20:37
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,73000,8970,,,,,,,,,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,72750,22,,,24.22,21.66,29,8,13,8,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,72750,8725,,,45.5,,8925,2,8305,1,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,72500,25,,4,23.64,22.55,29,1,21,29,23.52,7,33.33,28,09/17 20:37
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,72500,8480,,,29.34,,8250,2,7980,2,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,72250,30,,2,23.86,23.07,36,5,29,5,23.53,-1,-2.94,33,09/17 20:41
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,72250,8230,,,41.14,,8330,3,7655,3,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,72125,35,,,24.35,22.14,44,16,24,16,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,PUT,72125,8110,,,28.62,,7880,1,7625,3,,,,,
2026/09/17 20:49,2026-09-17T21:04:17+09:00,2026/09/18,2026/10/08,2026-10,CALL,72000,32,,543,23.57,22.95,39,2,33,12,23.44,6,18.75,38,09/17 20:43
